Aktivitäten
Datum,Verbrannte Kalorien,Schritte,Strecke,Stockwerke,Minuten im Sitzen,Minuten mit leichter Aktivität,Minuten mit relativ hoher Aktivität,Minuten mit sehr hoher Aktivität,Aktivitätskalorien
"01-06-2016","1.524","1.547","1,39","0","1.428","0","0","12","86"
"02-06-2016","1.450","0","0","0","1.440","0","0","0","0"
"03-06-2016","1.592","4.524","3,14","0","1.388","18","34","0","175"
"04-06-2016","2.345","11.759","8,16","44","1.127","171","17","73","1.091"
"05-06-2016","2.188","9.229","6,92","52","657","178","24","39","915"
"06-06-2016","1.819","3.342","2,32","5","832","156","0","0","455"
"07-06-2016","2.313","10.796","8","41","758","171","13","67","1.050"
"08-06-2016","1.954","4.821","3,35","19","754","203","0","0","625"
"09-06-2016","2.024","5.246","3,64","19","779","240","0","0","736"
"10-06-2016","2.231","8.570","6,73","21","725","212","38","23","980"
"11-06-2016","2.369","13.579","10,34","43","651","201","39","50","1.152"
"12-06-2016","2.125","7.523","5,57","24","649","267","11","9","903"
"13-06-2016","2.025","5.187","3,6","17","819","229","0","0","710"
"14-06-2016","1.920","4.515","3,13","13","853","201","0","0","604"
"15-06-2016","2.160","10.018","6,95","29","772","171","36","19","860"
"16-06-2016","1.955","4.412","3,06","11","763","196","0","0","614"
"17-06-2016","1.940","4.534","3,15","12","836","215","0","0","632"
"18-06-2016","2.353","11.735","8,14","48","747","227","22","43","1.125"
"19-06-2016","2.644","20.065","14,89","54","607","156","138","31","1.440"
"20-06-2016","1.926","4.319","3","10","782","194","0","0","595"
"21-06-2016","2.046","5.141","3,57","11","741","243","0","0","756"
"22-06-2016","1.968","4.576","3,18","13","759","181","0","0","603"
"23-06-2016","2.017","5.244","3,64","14","724","231","0","0","710"
"24-06-2016","2.483","11.420","7,93","36","792","290","30","16","1.269"
"25-06-2016","2.277","10.082","7","34","746","284","11","1","1.035"
"26-06-2016","1.794","2.829","1,96","11","817","142","0","0","431"
"27-06-2016","1.926","5.155","3,58","12","782","190","0","0","599"
"28-06-2016","2.121","8.764","6,08","31","810","167","31","24","816"
"29-06-2016","2.203","8.665","6,01","20","680","314","0","0","997"
"30-06-2016","2.074","8.634","5,99","29","753","166","32","19","778"

Schlaf
Datum,Minuten geschlafen,Minuten wach,Wie häufig aufgewacht,Zeit im Bett
"01-06-2016","0","0","0","0"
"02-06-2016","0","0","0","0"
"03-06-2016","0","0","0","0"
"04-06-2016","0","0","0","0"
"05-06-2016","467","20","1","493"
"06-06-2016","463","12","2","475"
"07-06-2016","401","12","1","413"
"08-06-2016","467","17","0","484"
"09-06-2016","418","5","0","423"
"10-06-2016","477","4","2","481"
"11-06-2016","481","8","1","493"
"12-06-2016","414","7","1","421"
"13-06-2016","457","22","1","479"
"14-06-2016","384","27","2","411"
"15-06-2016","382","9","1","391"
"16-06-2016","449","8","1","458"
"17-06-2016","470","20","1","490"
"18-06-2016","392","6","0","401"
"19-06-2016","424","6","1","430"
"20-06-2016","459","10","0","471"
"21-06-2016","442","5","0","447"
"22-06-2016","440","23","2","463"
"23-06-2016","484","15","1","499"
"24-06-2016","391","23","2","414"
"25-06-2016","377","21","1","398"
"26-06-2016","396","15","1","414"
"27-06-2016","454","3","0","458"
"28-06-2016","392","9","1","401"
"29-06-2016","463","12","1","475"
"30-06-2016","416","22","3","444"

