Aktivitäten
Datum,Verbrannte Kalorien,Schritte,Strecke,Stockwerke,Minuten im Sitzen,Minuten mit leichter Aktivität,Minuten mit relativ hoher Aktivität,Minuten mit sehr hoher Aktivität,Aktivitätskalorien
"01-07-2016","2.361","11.745","8,15","34","671","274","31","21","1.174"
"02-07-2016","1.984","4.744","3,29","11","824","232","0","0","676"
"03-07-2016","2.223","9.383","6,51","21","621","269","31","10","1.020"
"04-07-2016","2.417","13.780","9,56","29","676","234","32","34","1.188"
"05-07-2016","1.942","4.325","3","12","749","219","0","0","640"
"06-07-2016","1.965","5.709","3,96","8","766","215","0","0","660"
"07-07-2016","1.875","4.273","2,97","9","849","175","0","0","527"
"08-07-2016","2.901","13.803","10,03","31","547","256","61","74","1.782"
"09-07-2016","2.445","13.046","9,05","62","693","196","62","42","1.237"
"10-07-2016","2.302","7.833","5,44","30","609","339","9","6","1.122"
"11-07-2016","1.842","3.790","2,63","9","783","158","0","0","479"
"12-07-2016","2.112","7.932","5,5","24","837","204","3","28","831"
"13-07-2016","1.860","3.457","2,4","9","1.147","177","0","0","513"
"14-07-2016","1.879","4.404","3,06","7","802","168","0","0","524"
"15-07-2016","2.199","7.666","5,32","29","687","321","0","0","1.006"
"16-07-2016","1.942","3.285","2,28","2","808","179","0","12","623"
"17-07-2016","1.961","4.807","3,34","6","711","225","0","0","678"
"18-07-2016","2.085","7.513","5,21","13","751","201","29","8","806"
"19-07-2016","2.034","6.313","4,38","24","785","197","6","3","696"
"20-07-2016","2.276","9.720","6,75","31","708","205","23","30","990"
"21-07-2016","1.911","4.401","3,05","13","800","182","0","0","563"
"22-07-2016","2.389","6.669","4,63","14","664","344","16","0","1.216"
"23-07-2016","2.244","6.417","4,45","3","623","324","0","0","1.017"
"24-07-2016","2.298","8.151","5,66","17","558","348","12","1","1.131"
"25-07-2016","2.151","8.352","5,8","15","682","250","35","0","925"
"26-07-2016","1.865","3.475","2,41","6","778","196","0","0","563"
"27-07-2016","2.052","5.378","3,73","9","682","265","0","0","793"
"28-07-2016","2.428","9.524","6,61","59","565","295","32","22","1.261"
"29-07-2016","1.984","5.555","3,86","10","733","230","10","0","715"
"30-07-2016","2.964","24.329","16,88","95","533","249","161","32","1.893"
"31-07-2016","2.497","13.543","9,4","37","659","278","24","55","1.335"

Schlaf
Datum,Minuten geschlafen,Minuten wach,Wie häufig aufgewacht,Zeit im Bett
"01-07-2016","456","14","0","470"
"02-07-2016","427","9","0","437"
"03-07-2016","384","35","4","426"
"04-07-2016","452","2","0","454"
"05-07-2016","457","21","0","478"
"06-07-2016","447","20","3","478"
"07-07-2016","441","8","1","449"
"08-07-2016","413","12","1","425"
"09-07-2016","449","20","5","496"
"10-07-2016","514","16","1","530"
"11-07-2016","387","12","1","399"
"12-07-2016","469","8","0","477"
"13-07-2016","0","0","0","0"
"14-07-2016","491","14","1","505"
"15-07-2016","454","7","1","461"
"16-07-2016","381","11","2","396"
"17-07-2016","471","3","0","474"
"18-07-2016","467","6","0","473"
"19-07-2016","459","17","1","476"
"20-07-2016","454","10","0","464"
"21-07-2016","469","5","1","474"
"22-07-2016","447","14","1","461"
"23-07-2016","422","26","2","448"
"24-07-2016","471","19","2","490"
"25-07-2016","481","18","1","499"
"26-07-2016","444","20","1","465"
"27-07-2016","482","19","1","504"
"28-07-2016","445","15","2","460"
"29-07-2016","475","17","0","493"
"30-07-2016","430","15","1","445"
"31-07-2016","469","12","1","481"

