Aktivitäten
Datum,Verbrannte Kalorien,Schritte,Strecke,Stockwerke,Minuten im Sitzen,Minuten mit leichter Aktivität,Minuten mit relativ hoher Aktivität,Minuten mit sehr hoher Aktivität,Aktivitätskalorien
"01-09-2016","1.883","3.477","2,41","9","756","192","0","0","547"
"02-09-2016","2.181","8.428","5,85","22","664","232","32","10","935"
"03-09-2016","2.460","12.073","8,38","19","622","244","54","25","1.256"
"04-09-2016","2.205","9.296","6,45","31","739","183","25","31","919"
"05-09-2016","2.422","14.295","9,92","27","722","168","55","50","1.161"
"06-09-2016","2.508","14.059","9,76","26","689","297","35","10","1.305"
"07-09-2016","2.461","13.562","9,41","42","596","311","44","20","1.323"
"08-09-2016","2.267","11.313","7,85","48","673","205","58","15","1.027"
"09-09-2016","2.076","5.993","4,16","10","782","252","10","0","803"
"10-09-2016","2.694","17.281","11,99","19","535","381","34","25","1.610"
"11-09-2016","1.992","3.640","2,53","13","818","184","9","6","654"
"12-09-2016","1.853","3.821","2,65","10","819","168","0","0","501"
"13-09-2016","1.871","3.333","2,31","5","783","202","0","0","557"
"14-09-2016","2.006","6.954","4,83","18","729","175","14","21","703"
"15-09-2016","2.114","8.885","6,17","21","718","168","51","4","810"
"16-09-2016","2.166","8.035","5,58","17","711","222","27","9","902"

Schlaf
Datum,Minuten geschlafen,Minuten wach,Wie häufig aufgewacht,Zeit im Bett
"01-09-2016","454","10","0","464"
"02-09-2016","473","15","3","488"
"03-09-2016","452","31","3","483"
"04-09-2016","478","12","1","490"
"05-09-2016","439","22","1","462"
"06-09-2016","428","12","1","440"
"07-09-2016","432","9","1","444"
"08-09-2016","448","10","1","458"
"09-09-2016","487","16","1","503"
"10-09-2016","454","12","2","468"
"11-09-2016","252","38","2","290"
"12-09-2016","513","11","1","524"
"13-09-2016","426","7","1","433"
"14-09-2016","464","11","1","475"
"15-09-2016","482","17","0","499"
"16-09-2016","479","22","1","501"

