Aktivitäten
Datum,Verbrannte Kalorien,Schritte,Strecke,Stockwerke,Minuten im Sitzen,Minuten mit leichter Aktivität,Minuten mit relativ hoher Aktivität,Minuten mit sehr hoher Aktivität,Aktivitätskalorien
"01-08-2016","2.048","8.059","5,59","27","884","154","26","22","767"
"02-08-2016","2.977","18.752","13,01","144","571","337","67","46","1.915"
"03-08-2016","2.575","16.896","11,73","87","564","326","43","0","1.429"
"04-08-2016","2.152","8.147","5,65","13","690","284","0","0","923"
"05-08-2016","2.177","6.571","4,56","19","663","344","0","0","1.007"
"06-08-2016","1.993","6.158","4,27","3","754","219","0","0","702"
"07-08-2016","1.962","5.869","4,07","20","734","161","24","4","635"
"08-08-2016","2.046","7.624","5,29","22","774","162","24","15","729"
"09-08-2016","1.935","4.587","3,18","10","764","211","0","0","625"
"10-08-2016","1.967","4.280","2,97","3","717","238","0","0","680"
"11-08-2016","2.003","5.088","3,53","17","751","225","0","0","697"
"12-08-2016","2.799","13.581","9,43","65","472","470","29","3","1.782"
"13-08-2016","2.336","9.280","6,44","27","582","376","0","0","1.215"
"14-08-2016","2.282","9.649","6,7","39","664","227","42","27","1.065"
"15-08-2016","2.202","8.119","5,63","23","660","248","13","19","969"
"16-08-2016","2.238","8.412","5,84","27","707","243","24","17","998"
"17-08-2016","1.639","1.484","1,03","6","999","73","0","0","220"
"18-08-2016","1.450","0","0","0","1.440","0","0","0","0"
"19-08-2016","1.450","0","0","0","1.440","0","0","0","0"
"20-08-2016","1.450","0","0","0","1.440","0","0","0","0"
"21-08-2016","1.450","0","0","0","1.440","0","0","0","0"
"22-08-2016","1.450","0","0","0","1.440","0","0","0","0"
"23-08-2016","1.848","6.572","4,56","28","1.245","48","23","28","484"
"24-08-2016","2.037","7.666","5,32","21","745","170","21","14","725"
"25-08-2016","2.842","17.625","12,23","40","491","371","56","42","1.794"
"26-08-2016","1.948","4.625","3,21","5","858","198","3","8","629"
"27-08-2016","2.598","15.010","10,78","72","653","135","30","109","1.356"
"28-08-2016","2.288","8.800","6,11","20","558","364","0","0","1.144"
"29-08-2016","1.929","4.484","3,11","15","814","199","0","0","604"
"30-08-2016","1.905","4.177","2,9","6","745","201","0","0","585"
"31-08-2016","1.664","2.096","1,45","3","886","89","0","0","278"

Schlaf
Datum,Minuten geschlafen,Minuten wach,Wie häufig aufgewacht,Zeit im Bett
"01-08-2016","296","17","2","313"
"02-08-2016","433","11","1","444"
"03-08-2016","443","21","2","464"
"04-08-2016","506","23","1","529"
"05-08-2016","444","20","0","465"
"06-08-2016","449","10","0","459"
"07-08-2016","440","6","0","447"
"08-08-2016","461","19","1","482"
"09-08-2016","468","10","1","478"
"10-08-2016","443","12","0","455"
"11-08-2016","472","22","2","494"
"12-08-2016","449","12","0","461"
"13-08-2016","498","30","2","529"
"14-08-2016","469","8","0","477"
"15-08-2016","388","2","1","390"
"16-08-2016","509","7","1","516"
"17-08-2016","437","7","1","444"
"18-08-2016","0","0","0","0"
"19-08-2016","0","0","0","0"
"20-08-2016","0","0","0","0"
"21-08-2016","0","0","0","0"
"22-08-2016","0","0","0","0"
"23-08-2016","0","0","0","0"
"24-08-2016","469","14","2","483"
"25-08-2016","460","7","0","467"
"26-08-2016","481","8","1","489"
"27-08-2016","264","18","1","282"
"28-08-2016","606","38","5","644"
"29-08-2016","463","7","1","470"
"30-08-2016","420","15","1","435"
"31-08-2016","492","16","0","508"

